UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
GO;Caçu;GO0005070;Ativo;**.***.618/***-**;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO. COMIGO;COMIGO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0012815;Ativo;**.***.535/***-**;OPENEEM FOR LIFE GESTÃO E ADMINISTRAÇÃO DE BENS E DIREITOS PROPRIOS S.A;OPENEEM FOR LIFE S.A;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Cerro Largo;RS0027502;Ativo;**.***.354/***-**;AGROPECUARIA LAÇADOR - COMERCIO E REPRESENTAÇÕES LTDA.;AGROPECUARIA LAÇADOR;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0013030;Ativo;**.***.784/***-**;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;LEROY MERLIN;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
AM;Rio Preto da Eva;AM0001856;Ativo;**.***.289/***-**;M. M. F. BRITO E CIA LTDA - ME;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Arujá;SP0039446;Ativo;**.***.958/***-**;TACTO BIOTECNOLOGIA E AGROPECUÁRIA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;BIOFERTILIZANTE
SP;Paulínia;SP0022128;Ativo;**.***.073/***-**;SCL DO BRASIL IMPORTAÇÃO E COMÉRCIO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP;Guarulhos;SP0016381;Ativo;**.***.938/***-**;COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS LTDA.;Cobasi - O Shopping do seu animal;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Barbalha;CE0006009;Ativo;**.***.798/***-**;TERRA FERTIL COM E REPRES LTDA;TERRA FERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SE;Pinhão;SE0002143;Cancelado;**.***.380/***-**;MURYEL REPRESENTACOES COMERCIAIS LIMITADA;EXCLUSIVA AGRONEGOCIOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Pilar do Sul;SP0012840;Ativo;**.***.975/***-**;COMERCIO DE CEREAIS YOKOTOBI LTDA;YOKOTOBI;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PI;Bom Jesus;PI0001015;Ativo;**.***.416/***-**;AGRICOLA MANNA LTDA;AGRICOLA MANA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Sinimbu;RS0025879;Ativo;**.***.170/***-**;JTI PROCESSADORA DE TABACO DO BRASIL LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Itaberaí;GO0004588;Ativo;**.***.578/***-**;ARAGUAIA S.A.; ARAGUAIA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
DF;Brasília;DF0000957;Ativo;**.***.938/***-**;COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS LTDA.;Cobasi - O Shopping do seu animal;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Barueri;SP0053848;Ativo;**.***.822/***-**;SUMITOMO CHEMICAL BRASIL INDUSTRIA QUIMICA S.A.;SUMITOMO CHEMICAL BRASIL INDUSTRIA QUIMICA S.A.;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP;São Paulo;SP0013811;Ativo;**.***.104/***-**;PLANT HEALTH CARE INSUMOS AGRICOLAS LTDA;PLANT HEALTH CARE;FERTILIZANTE, INOCULANTE E CORRETIVO;EXPORTADOR;PRODUTO EXPORTADO EMBALADO
MS;Chapadão do Sul;MS0011010;Ativo;**.***.754/***-**;ENGELHART CTP (BRASIL) S.A.;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MA;São Luís;MA0003620;Ativo;**.***.555/***-**;lYNKZ DISTRIBUIDORA LTDA;LYNKZ DISTRIBUIDORA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Salto;SP0015040;Ativo;**.***.207/***-**;AQUA DO BRASIL INDÚSTRIA, COMÉRCIO, IMPORTAÇÃO E EXPORTAÇÃO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Sumaré;SP0011304;Ativo;**.***.121/***-**;ALBAUGH AGRO BRASIL LTDA;ALBAUGH AGRO BRASIL LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Passos;MG0010057;Ativo;**.***.887/***-**;AP AGRICOLA CEREAIS E GRAOS LTDA;AP AGRICOLA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
DF;Brasília;DF0000949;Ativo;**.***.938/***-**;COBASI COMÉRCIO DE PRODUTOS BÁSICOS E INDUSTRIALIZADOS LTDA.;Cobasi - O Shopping do seu animal;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Campo Verde;MT0006700;Ativo;**.***.956/***-**;PCO COMERCIO IMPORTACAO EXPORTACAO E AGROPECUARIA LTDA;agrovale;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Imbituba;SC0024767;Ativo;**.***.737/***-**;SQM VITAS BRASIL AGROINDUSTRIA IMPORTAÇÃO E EXPORTAÇÃO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
MS;Dourados;MS0015148;Ativo;**.***.835/***-**;ORGANOCERES INDUSTRIA DE FERTILIZANTES LTDA - ME;ORGANOCERES INDUSTRIA DE FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Fazenda Rio Grande;PR0004979;Ativo;**.***.690/***-**;BIOMA INDÚSTRIA COMÉRCIO E DISTRIBUIÇÃO LTDA;BIOMA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
RS;Canoas;RS0046647;Ativo;**.***.473/***-**;GREENVITA LTDA - ME;GREENVITA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
RS;Canoas;RS0046647;Ativo;**.***.473/***-**;GREENVITA LTDA - ME;GREENVITA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
MT;Cuiabá;MT0001309;Ativo;**.***.578/***-**;ADUBOS ARAGUAIA IND E COM LTDA;ARAGUAIA ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Irecê;BA0003913;Ativo;**.***.831/***-**;CENTRAL DE ADUBOS COMERCIO E REPRESENTAÇÕES LTDA;CENTRAL DE ADUBOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Carmópolis de Minas;MG0003972;Ativo;**.***.291/***-**;SILVEIRA TOMATE LTDA - ME;MS TOMATE;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Querência;MT0001384;Ativo;**.***.320/***-**;MACROFÉRTIL IND. E COM . DE FERTILIZANTES S.A;MACROFERTIL INDUSTRIA E COMERCIO DE FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Lucas do Rio Verde;MT0008796;Cancelado;**.***.473/***-**;AGRO ESPECIALIDADES LTDA;AGROESPECIALIDADES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Iepê;SP0049000;Ativo;**.***.287/***-**;BUSSADORI, GARCIA & CIA LTDA;AGRO 100;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Florianópolis;SC0029211;Ativo;**.***.020/***-**;MYROMA INDUSTRIA E COMERCIO DE FERRAGENS LTDA;MYROMA PET & GARDEN;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Araraquara;SP0042382;Ativo;**.***.303/***-**;vita fertilizantes especiais ltda;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Pouso Alegre;MG0016624;Ativo;**.***.731/***-**;MINAS RURAL AGRO NEGÓCIOS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Morrinhos;GO0009563;Ativo;**.***.899/***-**;DUQUIMA AGRONEGOCIOS LTDA;DUQUIMA AGRONEGOCIOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Machado;MG0014087;Ativo;**.***.854/***-**;terra de cultivo indústria de fertilizantes e rações ltda.;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
ES;Linhares;ES0009105;Ativo;**.***.349/***-**;AGERSYN INDÚSTRIA E SOLUÇÕES AGRÍCOLAS LTDA;Agersyn;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Ferraz de Vasconcelos;SP0048925;Ativo;**.***.004/***-**;FERRAZOXIDO METAIS IND.E COM. DE PRODUTOS QUIMICOS E RECUPERAÇÃO DE METAIS - EIRELLI;ferrazoxido;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PA;Redenção;PA0005789;Ativo;**.***.113/***-**;CASA DO ADUBO S.A;CASA DO ADUBO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Salvador;BA0007994;Ativo;**.***.891/***-**;FERTIFER IMPORTADORA E EXPORTADORA DE PROUDTOS GERAIS LTDA ;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
GO;Formosa;GO0009474;Ativo;**.***.805/***-**;PRODUTEC COMERCIO E REPRESENTAÇÕES S.A;PRODUTEC ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Paracatu;MG0020540;Ativo;**.***.446/***-**;ESSENTIAL CROP SOLUTIONS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MG;Frutal;MG0020532;Ativo;**.***.969/***-**;NUV-IN AGROSCIENCES FERTILIZANTES E ADJUVANTES LTDA;NUV-IN AGROSCIENCES FERTILIZANTES E ADJUVANTES LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
DF;Brasília;DF0003719;Ativo;**.***.823/***-**;GARDEN BIO COMERCIO VAREJISTA DE ADUBOS ORGANICOS LTDA;GARDEN BIO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PR;Curitiba;PR0014419;Ativo;**.***.274/***-**;GRANELES BRASIL COMERCIAL IMPORTADORA EXPORTADORA AGRICOLA S.A;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
BA;Maracás;BA0009113;Ativo;**.***.600/***-**;A SOLUCAO DE PRODUTOS AGRICOLAS LTDA;A SOLUÇÃO PRODUTOS AGRÍCOLAS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
AL;Arapiraca;AL0002682;Ativo;**.***.411/***-**;DANTAS & BARRETO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Pilar do Sul;SP0048917;Ativo;**.***.462/***-**;SOLOPHOS INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA;SOLOPHOS;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
MT;Rondonópolis;MT0009903;Ativo;**.***.116/***-**;ITERUM COMÉRCIO INTERNACIONAL LTDA;ITERUM INTERNACIONAL;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MT;Sorriso;MT0007803;Ativo;**.***.254/***-**;AMAGGI EXPORTAÇÃO E IMPORTAÇÃO LTDA.;AMAGGI EXPORTACAO E IMPORTAÇÃO LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Sorriso;MT0003069;Ativo;**.***.176/***-**;BRASIL AGROPULSES LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Chapecó;SC0016349;Ativo;**.***.311/***-**;OLMIX DO BRASIL SC COMERCIO, EXPORTAÇÃO E IMPORTAÇÃO LTDA.;OLMIX DO BRASIL SC COMERCIO, EXPORTAÇÃO E IMPORTAÇÃO LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG;Uberlândia;MG0011088;Ativo;**.***.138/***-**;ICL AMERICA DO SUL S.A;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
SC;Itajaí;SC0015431;Ativo;**.***.274/***-**;GRANELES BRASIL COMERCIAL IMPORTADORA EXPORTADORA AGRICOLA S.A;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
AL;Santa Luzia do Norte;AL0002968;Ativo;**.***.043/***-**;GTS IND E COM DE PRODUTOS QUIMICOS E NUTRICAO LTDA;GTS PRODUTOS QUIMICOS E NUTRICAO;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Bagé;RS0018228;Ativo;**.***.223/***-**;C.VALE - COOPERATIVA AGROINDUSTRIAL;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Cuiabá;MT0003530;Ativo;**.***.382/***-**;NOVAFERTIL COMERCIO DE FERTILIZANTES LTDA;NOVAFERTIL COMERCIO DE FERTILIZANTES;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PA;Santarém;PA0007439;Ativo;**.***.278/***-**;CAMPO RICO BRASIL COMERCIO DE FERTILIZANTES S.A;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
MG;São Sebastião do Paraíso;MG0005428;Ativo;**.***.791/***-**;COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS;Coopercitrus;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Araçatuba;SP0015601;Ativo;**.***.966/***-**;INSUMOS COMERCIO DE PRODUTOS AGROPECUÁRIOS LTDA - ME;INSUMOS CENTRAL DE AGRONEGOCIOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Mineiros;GO0005819;Ativo;**.***.900/***-**;RURAL BRASIL S.A;RURAL BRASIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Balneário Piçarras;SC0031240;Ativo;**.***.957/***-**;PRIME DO BRASIL IMPORTAÇÃO, EXPORTAÇÃO, INDÚSTRIA E COMÉRCIO DE PRODUTOS QUÍMICOS LTDA.;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC;Caçador;SC0007072;Ativo;**.***.590/***-**;Soluções Hidroponia Comercio de Insumos Agricolas Ltda;Soluções Hidroponia Comercio de Insumos Agricolas Ltda ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Rio Grande;RS0033111;Ativo;**.***.842/***-**;CIBRAFERTIL COMPANHIA BRASILEIRA DE FERTILIZANTES;CIBRA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Quatro Pontes;PR0025488;Ativo;**.***.922/***-**;AGRO DIFERENCIAL LTDA;DBV Brothers;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
RO;Alta Floresta D'Oeste;RO0003700;Ativo;**.***.040/***-**;ALVORADA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;ALVORADA PRODUTOS AGROPECUÁRIOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Abadia dos Dourados;MG0003921;Ativo;**.***.054/***-**;ASSUNCAO E SILVA AGRONEGOCIOS LTDA-ME;ASSUNCAO E SILVA AGRONEGOCIOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RS;Antônio Prado;RS0024325;Ativo;**.***.325/***-**;SERRA E CAMPO COMERCIO AGRICOLA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Várzea Paulista;SP0015016;Ativo;**.***.737/***-**;SQM VITAS BRASIL AGROINDUSTRIA, IMPORTAÇAO E EXPORTAÇÃO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
SP;Ribeirão Preto;SP0011096;Ativo;**.***.998/***-**;AGRICHEM DO BRASIL S.A;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
TO;Palmas;TO0003450;Ativo;**.***.697/***-**;AMAGGI LOUIS DREYFUS ZEN-NOH GRAOS S.A.;ALZ GRAOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
TO;Palmas;TO0003450;Ativo;**.***.697/***-**;AMAGGI LOUIS DREYFUS ZEN-NOH GRAOS S.A.;ALZ GRAOS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EM GRANEL
SP;Potirendaba;SP0009318;Ativo;**.***.916/***-**;TECNOFITO IMPORTAÇÃO E EXPORTAÇÃO LTDA.;TECNOFITO IMPORTAÇÃO E EXPORTAÇÃO LTDA.;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Montes Claros;MG0003875;Ativo;**.***.870/***-**;CASA DO PRODUTOR RURAL DE JANAUBA LTDA;CASA DO PRODUTOR RURAL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MG;Muzambinho;MG0003891;Ativo;**.***.785/***-**;GRÃO DE OURO AGRONEGÓCIOS LTDA;GRÃO DE OURO AGRONEGÓCIOS LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Iporã do Oeste;SC0008567;Ativo;**.***.071/***-**;AGROPECUARIA NUTRICERES LTDA;NUTRICERES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
BA;Posto da Mata;BA0002909;Ativo;**.***.744/***-**;LB AGRÍCOLA LTDA - ME;LBA SOLUÇÕES AGRÍCOLAS;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Laranjal Paulista;SP0045098;Ativo;**.***.356/***-**;qgp quimica geral s.a.;Q.G.P. QUIMICA GERAL LTD;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
RJ;Sumidouro;RJ0013153;Ativo;**.***.428/***-**;CAMPINAS SERRANA AGRICOLA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
RO;Itapuã do Oeste;RO0002488;Ativo;**.***.223/***-**; A. V. J. COMERCIO DE PRODUTOS VETERINARIOS LTDA ;AGRO-VETERINARIA JAMARY;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Cotia;SP0016845;Ativo;**.***.359/***-**;companhia biochemicals do brasil ;COMPANHIA BIOCHEMICALS DO BRASIL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
MT;Rondonópolis;MT0008117;Ativo;**.***.013/***-**;NITEX QUIMICA LTDA;NITEX QUIMICA;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
BA;Gandu;BA0011142;Ativo;**.***.958/***-**;MACHADO COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;SHOPPING DAS RACOES;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Jardinópolis;SP0061832;Ativo;**.***.973/***-**;NAT.ORGANICO FERTILIZANTES LTDA;NAT.ORGANICO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
BA;Irecê;BA0006025;Ativo;**.***.131/***-**;LOJAS GEOCOMERCIAL LTDA;AGROTOP;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
PE;Araripina;PE0002364;Ativo;**.***.791/***-**;GYPSUM RECUPERAÇÃO DE GESSO LTDA;GYPSUM RECICLE - RECICLAGEM E RECUPERAÇÃO DE GESSO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CONDICIONADOR DE SOLO
SC;Iomerê;SC0013404;Ativo;**.***.517/***-**;COOPERATIVA AGROPECUARIA PASSO DA FELICIDADE - FILIAL IOMERE ;Cooperpasso Filial Iomere ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;Palhoça;SC0014389;Ativo;**.***.739/***-**;INBC AGRO INDUSTRIA DE FERTILIZANTES LTDA;INBC GROUP;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SC;Palhoça;SC0014389;Ativo;**.***.739/***-**;INBC AGRO INDUSTRIA DE FERTILIZANTES LTDA;INBC GROUP;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Ortigueira;PR0019607;Ativo;**.***.427/***-**;AMBITEC SOLUÇÕES AMBIENTAIS LTDA;AMBITEC SOLUÇÕES AMBIENTAIS LTDA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SC;Três Barras;SC0024716;Ativo;**.***.427/***-**;AMBIPAR ENVIRONMENTAL SOLUTIONS - SOLUCOES AMBIENTAIS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
PR;Paiçandu;PR0017604;Ativo;**.***.391/***-**;ORGANMAX FERTILIZANTES LTDA;ORGANMAX;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PR;Mandaguari;PR0032794;Ativo;**.***.763/***-**;MINERAÇÃO MANDAGUARI LTDA;Mineração Mandaguari;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;REMINERALIZADOR
RS;Lagoa Vermelha;RS0039411;Ativo;**.***.646/***-**;SUPREMA INSUMOS AGRÍCOLAS LTDA.;Suprema;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SC;São Francisco do Sul;SC0027472;Ativo;**.***.333/***-**;MHA OPERADOR PORTUARIO LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MT;Rondonópolis;MT0002305;Ativo;**.***.333/***-**;ADUBRAS FERTILIZANTES S/A;INPEK FERTILIZANTES S/A;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SC;Frei Rogério;SC0025674;Ativo;**.***.517/***-**;COOPERATIVA AGROPECUARIA PASSO DA FELICIDADE - FILIAL FREI ROGERIO ;Cooperativa Agropecuaria Passo da Felicidade - Filial Freio Rogerio ;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;São Paulo;SP0020583;Ativo;**.***.525/***-**;BELFERTIL COMERCIO DE INSUMOS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
SP;Embu das Artes;SP0061212;Ativo;**.***.558/***-**;EMBU S/A ENGENHARIA E COMÉRCIO;Embu SA;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;REMINERALIZADOR
TO;Natividade;TO0005371;Ativo;**.***.244/***-**;MINERACAO ARAGUAIA LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SP;Santos;SP0023663;Ativo;**.***.358/***-**;TORK - COMERCIO E EXPORTACAO LTDA;TORK;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
