UNIDADE_DA_FEDERACAO;MUNICIPIO;NUMERO_REGISTRO_ESTABELECIMENTO;STATUS_DO_REGISTRO;CNPJ;RAZAO_SOCIAL;NOME_FANTASIA;AREA_ATUACAO;ATIVIDADE;CLASSIFICACAO
SP;Ituverava;SP0056049;Ativo;**.***.733/***-**;UPL DO BRASIL INDÚSTRIA E COMÉRCIO DE INSUMOS AGROPECUÁRIOS S.A.;UPL DO BRASIL S.A.;FERTILIZANTE, INOCULANTE E CORRETIVO;EXPORTADOR;PRODUTO EXPORTADO EMBALADO
SP;Diadema;SP0036552;Ativo;**.***.405/***-**;agro comercial wiser ltda.;Agro Wiser;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP;Jaboticabal;SP0042943;Ativo;**.***.967/***-**;oxiquímica agrociência ltda.;;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
PR;Cascavel;PR0013650;Ativo;**.***.511/***-**;NUTRIPLAST IND. E COM. LTDA;Nutriplan;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;SUBSTRATO PARA PLANTAS
SP;Paulínia;SP0023701;Ativo;**.***.175/***-**;fertilizantes heringer s.a;Fertilizantes Heringer S.A;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
SP;Suzano;SP0027294;Ativo;**.***.138/***-**;icl america do sul s.a.;icl;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
PB;Solânea;PB0000124;Ativo;**.***.669/***-**;COMERCIAL AGROPECUÁRIO PAIVA LTDA;AGRODEL;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
GO;Perolândia;GO0013315;Ativo;**.***.930/***-**;SUCAL MINERAÇÃO LTDA;SUCAL SUDOESTE CALCARIO DOLOMITICO;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CORRETIVO
SP;Capão Bonito;SP0038776;Ativo;**.***.631/***-**;COOPERATIVA AGRÍCOLA DE CAPÃO BONITO;CACB;FERTILIZANTE, INOCULANTE E CORRETIVO;COMERCIANTE;PRODUTO COMERCIALIZADO EMBALADO
CE;Jaguaruana;CE0007447;Ativo;**.***.212/***-**;Agropaulo Agroindustrial S.A;Agropaulo;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
CE;Jaguaruana;CE0007447;Ativo;**.***.212/***-**;Agropaulo Agroindustrial S.A;Agropaulo;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;CONDICIONADOR DE SOLO
SP;Jaboticabal;SP0042706;Ativo;**.***.776/***-**;AMVAC DO BRASIL IMPORTAÇÃO  E COMERCIO DE INSUMOS AGRICOLAS LTDA;;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR;Foz do Iguaçu;PR0016675;Ativo;**.***.269/***-**;TECNOMYL BRASIL DISTRIBUIDORA DE PRODUTOS AGRÍCOLAS LTDA;Tecnomyl Brasil;FERTILIZANTE, INOCULANTE E CORRETIVO;IMPORTADOR;PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG;Liberdade;MG0007927;Ativo;**.***.047/***-**;CIA DE NICKEL DO BRASIL;HUZIFERTIL;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE MINERAL
MS;Angélica;MS0013781;Ativo;**.***.169/***-**;ADECOAGRO VALE DO IVINHEMA S.A;ADECOAGRO VALE DO IVINHEMA S.A;FERTILIZANTE, INOCULANTE E CORRETIVO;PRODUTOR;FERTILIZANTE ORGÂNICO
