UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
SP,São Paulo,SP0068632,**.***.264/***-**,W.B. COMÉRCIO ATACADISTA DE PRODUTOS AGRÍCOLAS LTDA,W.B.COMERCIO ATACADISTA DE PRODUTOS AGRÍCOLAS,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
AC,Brasiléia,AC0001473,**.***.861/***-**,BOASAFRA COMERCIO E REPRESENTAÇOES LTDA,BOASAFRA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RO,Cerejeiras,RO0005100,**.***.072/***-**,SOUZA & AGUIAR REPRESENTACAO E COMERCIO DE PRODUTOS AGRICOLAS LTDA,AGROFORTE REPRESENTACOES,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Sinop,MT0016101,**.***.056/***-**,AGROPAM AGRONEGICIOS E REPRESENTAÇÕES AGRICOLAS LTDA,AGROPAM AGRONEGOCIOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Marília,SP0065579,**.***.551/***-**,NOVA AGRO FERTILIZANTES LTDA,NOVA AGRO FERTILIZANTES EIRELI,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Rondonópolis,MT0012858,**.***.116/***-**,ITERUM COMÉRCIO INTERNACIONAL LTDA,ITERUM COMÉRCIO INTERNACIONAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
SP,Jacupiranga,SP0071404,**.***.646/***-**,FERTICORE INDUSTRIA E COMERCIO DE FERTILIZANTES E MINERAIS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MG,Campos Gerais,MG0030040,**.***.653/***-**,PRO SOLO REPRESENTACOES LTDA,PRO SOLO REPRESENTACOES,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Capivari,SP0066400,**.***.283/***-**,NOVA RECICLE PLASTIK LTDA,NOVA RECICLE PLASTIK,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,São Sebastião do Caí,RS0059463,**.***.372/***-**,J. MARCELINO VIEIRA ADUBOS - ME,NICO PLANTAS E FLORES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
