UNIDADE_DA_FEDERACAO,MUNICIPIO,NUMERO_REGISTRO_ESTABELECIMENTO,CNPJ,RAZAO_SOCIAL,NOME_FANTASIA,AREA_ATUACAO,ATIVIDADE,CLASSIFICACAO
SC,Gaspar,SC0001201,**.***.101/***-**,BUNGE ALIMENTOS S/A,BUNGE ALIMENTOS S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO EM GRANEL E COMERCIALIZADO EM EMBALAGEM PROPRIA
MG,Belo Horizonte,MG0008257,**.***.915/***-**,CARREFOUR COMERCIO E INDUSTRIA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Tangará,SC0010669,**.***.247/***-**,LACTICINIOS TIROL LTDA,LACTICÍNIOS TIROL LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,São José do Cedro,SC0006378,**.***.247/***-**,LACTICINIOS TIROL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Guaratinguetá,SP0028231,**.***.510/***-**,COOPERATIVA DE LATICINIOS SERRAMAR,COOPERATIVA DE LATICINIOS SERRAMAR,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,São José do Cedro,SC0021903,**.***.235/***-**,COOPERATIVA AGROINDUSTRIAL ALFA,COOPERALFA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RJ,Rio Bonito,RJ0014958,**.***.326/***-**,CENTRAL RIO AGROPECUÁRIA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0031763,**.***.915/***-**,CARREFOUR COMÉRCIO E INDÚSTRIA LTDA - CARREFOUR IMIGRANTES,SPS,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Jataí,GO0009075,**.***.618/***-**,COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO  - COMIGO,COMIGO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MT,Primavera do Leste,MT0002330,**.***.897/***-**,sinagro produtos agropecuários s.a,sinagro produtos agropecuários s.a,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Tietê,SP0026450,**.***.778/***-**,FENIX AGRO-PECUS INDUSTRIAL LTDA,QUIMIFOL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,São Gotardo,MG0002828,**.***.642/***-**,Cooperativa Agropecuária do Alto Paranaíba - Coopadap,cooperativa agropecuária do alto paranaiba - coopadap,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Cabreúva,SP0051659,**.***.843/***-**,ENZIMAC INDUSTRIA ORGANICA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Cabreúva,SP0036625,**.***.099/***-**,technes agricola lda,TECHNES AGRÍCOLA LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Olímpia,SP0040568,**.***.060/***-**,industria quimica kimberlit ltda,Kimberlit Agrociências,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,INOCULANTE
GO,Formoso,GO0013110,**.***.930/***-**,CALCÁRIO SANTA TEREZA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
PR,Ponta Grossa,PR0018600,**.***.525/***-**,LOUIS DREYFUS COMPANY BRASIL S.A.,LOUIS DREYFUS COMPANY BRASIL S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP,Jardinópolis,SP0011061,**.***.099/***-**,AGROBIOTECH AGRONEGOCIO LTDA  JARDINÓPOLIS/SP,AGROBIOTECH AGRONEGÓCIO,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR,Quatro Barras,PR0020028,**.***.456/***-**,NOVOZYMES BIOAG PROD. PARA AGRICULTURA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Jaboticabal,SP0003727,**.***.570/***-**,IMEVE-INDUSTRIA DE MEDICAMENTOS VETERINARIOS S/A,IMEVE - Indústria de Medicamentos Veterinários S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,INOCULANTE
MT,Paranatinga,MT0004979,**.***.632/***-**,SIPAL INDUSTRIAL E COMERCIO LTDA,SIPAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Piranhas,GO0013285,**.***.951/***-**,MINERAÇÃO DE CALCÁRIO MONTIVIDIU LTDA,CALCARIO PIRANHAS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
GO,Montividiu,GO0013293,**.***.151/***-**,ELBA CALCÁRIO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
SP,Indaiatuba,SP0008478,**.***.604/***-**,bio controle metodos de controle de pragas ltda,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Ituverava,SP0056049,**.***.733/***-**,UPL DO BRASIL INDÚSTRIA E COMÉRCIO DE INSUMOS AGROPECUÁRIOS S.A.,UPL DO BRASIL S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
SP,Diadema,SP0036552,**.***.405/***-**,agro comercial wiser ltda.,Agro Wiser,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP,Jaboticabal,SP0042943,**.***.967/***-**,oxiquímica agrociência ltda.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PR,Cascavel,PR0013650,**.***.511/***-**,NUTRIPLAST IND. E COM. LTDA,Nutriplan,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,SUBSTRATO PARA PLANTAS
SP,Paulínia,SP0023701,**.***.175/***-**,fertilizantes heringer s.a,Fertilizantes Heringer S.A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Suzano,SP0027294,**.***.138/***-**,icl america do sul s.a.,icl,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PB,Solânea,PB0000124,**.***.669/***-**,COMERCIAL AGROPECUÁRIO PAIVA LTDA,AGRODEL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
GO,Perolândia,GO0013315,**.***.930/***-**,SUCAL MINERAÇÃO LTDA,SUCAL SUDOESTE CALCARIO DOLOMITICO,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
SP,Capão Bonito,SP0038776,**.***.631/***-**,COOPERATIVA AGRÍCOLA DE CAPÃO BONITO,CACB,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
CE,Jaguaruana,CE0007447,**.***.212/***-**,Agropaulo Agroindustrial S.A,Agropaulo,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
CE,Jaguaruana,CE0007447,**.***.212/***-**,Agropaulo Agroindustrial S.A,Agropaulo,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
SP,Jaboticabal,SP0042706,**.***.776/***-**,AMVAC DO BRASIL IMPORTAÇÃO  E COMERCIO DE INSUMOS AGRICOLAS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR,Foz do Iguaçu,PR0016675,**.***.269/***-**,TECNOMYL BRASIL DISTRIBUIDORA DE PRODUTOS AGRÍCOLAS LTDA,Tecnomyl Brasil,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG,Liberdade,MG0007927,**.***.047/***-**,CIA DE NICKEL DO BRASIL,HUZIFERTIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MS,Angélica,MS0013781,**.***.169/***-**,ADECOAGRO VALE DO IVINHEMA S.A,ADECOAGRO VALE DO IVINHEMA S.A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PR,Palmas,PR0021580,**.***.776/***-**,BIO TEE SUL AMERICA INDUSTRIA DE PRODUTOS QUIMICOS E OPOTERAPICOS LTDA,BIOTEE SUL AMÉRICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG,Delfim Moreira,MG0017590,**.***.536/***-**,FUNDAÇÃO ROGE,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Videira,SC0008974,**.***.537/***-**,COOPER HF,Cooper HF,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
MG,Uberaba,MG0007463,**.***.367/***-**,FMC QUIMICA DO BRASIL LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Rio Branco do Sul,PR0016705,**.***.861/***-**,MINÉRIOS FURQUIM LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PR,Almirante Tamandaré,PR0006548,**.***.142/***-**,INDÚSTRIA DE CAL RIO GRANDE LTDA,Cal Rio Grande,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
MG,Córrego Fundo,MG0011436,**.***.579/***-**,INDUSTRIA DE CAL CRUZEIRO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
RS,Tapejara,RS0026778,**.***.998/***-**,COOPERAATIVA AGRÍCOLA TAPEJARA LTDA,COTAPEL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0057010,**.***.755/***-**,HELM DO BRASIL MERCANTIL LTDA,HELM,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MT,Nobres,MT0007846,**.***.767/***-**,INDÚSTRIA E COMÉRCIO DE CALCÁRIO CUIABÁ LTDA,Calcário Cuiabá,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
SP,São Paulo,MT0003239,**.***.541/***-**,CALCARIO VALE DO ARAGUAIA LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
SC,Ipuaçu,SC0003069,**.***.383/***-**,COAMO AGROINDUSTRIAL COOPERATIVA,COAMO,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
SP,Guariba,SP0053678,**.***.508/***-**,Raizen energia s/a,Raizen Bonfim,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
RS,Vacaria,RS0036862,**.***.434/***-**,BIOSUL INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,BIOSUL FERTILIZANTES,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Boa Esperanca,MT0006440,**.***.632/***-**,sipal industria e comercio ltda,SIPAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Orlândia,SP0074519,**.***.196/***-**,AGRONN FERTILIZANTES LTDA,AGRONN FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
RS,Garibaldi,RS0037796,**.***.144/***-**,BEIFIUR LTDA.,Beifiur,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,INOCULANTE
PR,Cambé,PR0008192,**.***.715/***-**,INQUIMA LTDA,Inquima ltda.,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SC,Pinhalzinho,SC0000400,**.***.723/***-**,COOPERATIVA REGIONAL ITAIPU,COOPERATIVA REGIONAL ITAIPU - FILIAL 15,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,Araçatuba,SP0055174,**.***.508/***-**,RAIZEN ENERGIA S/A,RAIZEN DESTIVALE,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SC,Joinville,SC0019577,**.***.090/***-**,incasa s/a,Incasa,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
GO,Guarani de Goiás,GO0009873,**.***.125/***-**,PIRECAL PIRENOPOLIS CALCARIO LTDA,TRANSPORTADORA PIRECAL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
RS,Seberi,RS0021962,**.***.770/***-**,COMÉRCIO DE PRODUTOS AGRÍCOLAS BFG LTDA,AGRICENTER,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Santo Inácio,SP0073369,**.***.562/***-**,USINA ALTO ALEGRE S/A AÇÚCAR E ÁLCOOL,Usina Alto Alegre,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SC,Abelardo Luz,SC0007218,**.***.750/***-**,COOPERFÉRTIL - COOPERATIVA AGRÍCOLA LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EM GRANEL
GO,Goiânia,GO0008575,**.***.089/***-**,NUTRI FERTILIZANTES IND. COM. AGROP. LTDA,NUTRIMAX,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PR,Almirante Tamandaré,PR0013919,**.***.629/***-**,INDÚSTRIA E COMÉRCIO DE CAL E CALCÁRIO SOLO BRANCO LTDA,Solo Branco,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
PR,Ponta Grossa,PR0006815,**.***.385/***-**,AGROCETE IND. DE FERTILIZANTES LTDA,AGROCETE IND. DE FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PR,Ponta Grossa,PR0006815,**.***.385/***-**,AGROCETE IND. DE FERTILIZANTES LTDA,AGROCETE IND. DE FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
PR,Ponta Grossa,PR0006815,**.***.385/***-**,AGROCETE IND. DE FERTILIZANTES LTDA,AGROCETE IND. DE FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,BIOFERTILIZANTE
SP,São Paulo,SP0021334,**.***.606/***-**,ROTAM DO BRASIL AGROQUIMICA  PRODUTOS AGRICOLAS  LTDA,ROTAM DO BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EM GRANEL
PR,São Mateus do Sul,PR0021512,**.***.638/***-**,STAUDT & BARATIERI LTDA,JEL FERTIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
GO,Formosa,GO0017337,**.***.373/***-**,ENGEBRITA CALCARIO LTDA,ENGEBRITA CALCÁRIO,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
RS,Eldorado do Sul,RS0037095,**.***.020/***-**,VIDA PRODUTOS E SERVIÇOS EM DESENVOLVIMENTO ECOLÓGICO LTDA - GUAÍBA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,REMINERALIZADOR
SC,Videira,SC0002852,**.***.660/***-**,COOPERATIVA AGROPECUARIA VIDEIRENSE,COOPERVIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
CE,Paraipaba,CE0001520,**.***.400/***-**,ALINE GOMES PORTELA - ME,RAÇÃO E CIA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
ES,Viana,ES0007358,**.***.175/***-**,FERTILIZANTES HERINGER S.A.,FERTILIZANTES HERINGER S.A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Cotia,SP0006114,**.***.479/***-**,RUDNIK COMERCIO DE PRODUTOS QUIMICOS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SP,São Paulo,SP0066320,**.***.616/***-**,CZARNIKOW BRASIL LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Piracicaba,SP0040231,**.***.031/***-**,CJ do Brasil Indústria e Comércio de Produtos Alimenticios Ltda.,CJ DO BRASIL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Ourinhos,SP0033839,**.***.175/***-**,fertilizantes heringer s.a,FERTILIZANTES HERINGER S.A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
MG,Araguari,MG0007714,**.***.790/***-**,CJ SELECTA S.A.,CJ SELECTA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PR,Araucária,PR0033383,**.***.892/***-**,gpc quimica s.a,GPC QUIMICA S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MS,Dourados,MS0011100,**.***.059/***-**,"FERTIPOL INDUSTRIA, COMERCIO E REPRESENTAÇÕES LTDA",ADUBOS FERTIPOL,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,São Paulo,SP0030317,**.***.166/***-**,METACHEM INDUSTRIAL E COMERCIAL LTDA,METACHEM,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
MG,Martins Soares,MG0029807,**.***.911/***-**,FERTIPAR SUDESTE - ADUBOS E CORRETIVOS AGRÍCOLAS LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,São Bernardo do Campo,SP0017612,**.***.433/***-**,carbono química ltda.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Pelotas,RS0033154,**.***.616/***-**,OUROFÉRTIL FERTILIZANTES LTDA,OUROFÉRTIL FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SC,Itajaí,SC0008648,**.***.099/***-**,MUNDIAL IMPORTACAO E EXPORTACAO LTDA,MUNDIAL IMPORTAÇÃO E EXPORTAÇÃO EIRELI,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP,Itapetininga,SP0027774,**.***.859/***-**,NUTRIEN SOLUÇÕES AGRÍCOLAS LTDA.,NUTRIEN AG SOLUTIONS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SC,Pomerode,SC0003930,**.***.521/***-**,LINK COMERCIAL IMPORTADORA E EXPORTADORA LTDA,Link Comercial,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
TO,Xambioá,TO0005142,**.***.452/***-**,VOTORANTIM CIMENTOS N/NE S/A,VOTORANTIM CIMENTOS,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
PR,Alexandra,PR0013420,**.***.175/***-**,FERTILIZANTES HERINGER S.A.,FERTILIZANTES HERINGER S.A.,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTOS A GRANEL PARA COMERCIALIZAÇÃO EM EMBALAGENS PRÓPRIAS
SP,Santos,SP0033006,**.***.402/***-**,ADM DO BRASIL LTDA,ADM,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
RS,Rio Grande,RS0001550,**.***.713/***-**,TIMAC AGRO INDÚSTRIA E COMÉRCIO DE FERTILIZANTES LTDA,TIMAC AGRO INDÚSTRIA E COMÉRCIO DE FERTILIZANTES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CONDICIONADOR DE SOLO
SP,São Paulo,SP0001460,**.***.723/***-**,m cassab comercio e industria ltda,m cassab comercio e industria ltda,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Caieiras,SP0063851,**.***.599/***-**,ABIM COMERCIO EXTERIOR & LOGISTICA LTDA.,ABIMCOMEX,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EM GRANEL
SP,Paulínia,SP0022888,**.***.175/***-**,fertilizantes heringer s.a,Fertilizantes Heringer S/A,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,São Paulo,SP0033677,**.***.353/***-**,haifa quimica do brasil ltda,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SC,Itajaí,SC0002917,**.***.908/***-**,trust imposrtação e exportação eireli,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PE,Cabo de Santo Agostinho,SC0001147,**.***.574/***-**,COLUMBIA TRADING S/A,COLUMBIA TRADING,"FERTILIZANTE, INOCULANTE E CORRETIVO",EXPORTADOR,PRODUTO EXPORTADO EMBALADO
MG,Uberlândia,MG0028762,**.***.117/***-**,PARANAIBA FERTILIZANTES INDUSTRIA E COMERCIO LTDA,Adubos Paranaiba,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
BA,Juazeiro,RS0048917,**.***.332/***-**,mk quimica do brasil ltda,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Joinville,SC0014206,**.***.786/***-**,DAAS DISTRIBUICAO E COMERCIO LTDA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
PR,Cambé,PR0016225,**.***.482/***-**,RIZOBACTER DO BRASIL LTDA.,,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,São Paulo,SP0041548,**.***.303/***-**,QUARKS COMERCIAL IMPORTADORA LTDA,QUARKS,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Itapeva,SP0051101,**.***.906/***-**,nutriceler - industria de fertilizantes especiais ltda,Nutriceler - Industria de Fertilizantes Especiais Ltda,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
SP,Itapeva,SP0051101,**.***.906/***-**,nutriceler - industria de fertilizantes especiais ltda,Nutriceler - Industria de Fertilizantes Especiais Ltda,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
SP,Batatais,SP0038610,**.***.307/***-**,BRASILQUIMICA INDÚSTRIA E COMÉRCIO LTDA,BRASILQUIMICA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE ORGÂNICO
RS,Passo Fundo,RS0037362,**.***.706/***-**,CARGILL AGRICOLA S A,CARGILL AGRICOLA,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
SC,Itajaí,SC0013412,**.***.439/***-**,"LEVEL IMPORTAÇÃO, EXPORTAÇÃO E COMERCIO S/A",Level Trade,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
SP,Campinas,SP0025240,**.***.036/***-**,agribrás agro industrial ltda,Agribrás,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
BA,Candeias,BA0005371,**.***.713/***-**,TIMAC AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,ROULLIER,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Rondonópolis,SP0033804,**.***.348/***-**,COMPANHIA NITROQUIMICA BRASILEIRA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
MT,Rondonópolis,SP0033804,**.***.348/***-**,COMPANHIA NITROQUIMICA BRASILEIRA,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,CORRETIVO
RS,Santa Cruz do Sul,RS0021415,**.***.515/***-**,PREMIUM TABACOS DO BRASIL S/A,,"FERTILIZANTE, INOCULANTE E CORRETIVO",COMERCIANTE,PRODUTO COMERCIALIZADO EMBALADO
PR,Centralito,PR0014680,**.***.219/***-**,COOPAVEL COOPERATIVA AGROINDUSTRIAL,,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Batatais,SP0031607,**.***.268/***-**,Agroplanta Fertilizantes e Inovaçoes S.A,AGROPLANTA FERTILIZANTES E INOVACOES LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",PRODUTOR,FERTILIZANTE MINERAL
SP,Bauru,SP0044695,**.***.046/***-**,ASPEBIO BRASIL AGROQUIMICOS IMPORTAÇÃO E COMERCIO LTDA,ASPEBIO BRASIL AGROQUIMICOS IMPORTAÇÃO E COMERCIO LTDA,"FERTILIZANTE, INOCULANTE E CORRETIVO",IMPORTADOR,PRODUTO IMPORTADO E COMERCIALIZADO EMBALADO
